X axis [deg],PMax1 [bar]
630720,32.75407
631440,31.968586
632160,30.196259
632880,33.821205
633600,32.303452
634320,32.628502
635040,32.265274
635760,30.753595
636480,30.854908
637200,31.705086
637920,33.044552
638640,31.628689
639360,31.141933
640080,33.401653
640800,30.377697
641520,31.529945
642240,30.122824
642960,31.38932
643680,30.645741
644400,32.480038
645120,30.110794
645840,33.201424
646560,31.025244
647280,31.297064
648000,30.539812
648720,30.130095
649440,33.245941
650160,33.851631
650880,31.478714
651600,30.576904
652320,30.496489
653040,31.164097
653760,32.225792
654480,31.805038
655200,31.519159
655920,33.238285
656640,33.676476
657360,30.93713
658080,30.698214
658800,32.765095
659520,33.043068
660240,32.020405
660960,32.596973
661680,30.282888
662400,32.605213
663120,31.756268
663840,31.458221
664560,31.0424
665280,33.097801
666000,31.343191
666720,30.924549
667440,30.822918
668160,32.471394
668880,30.464384
669600,30.095982
670320,32.130856
671040,31.141857
671760,31.901728
672480,30.910843
673200,31.363607
673920,31.945694
674640,31.434681
675360,33.261307
676080,29.843718
676800,32.629807
677520,30.479198
678240,30.902142
678960,31.932009
679680,30.483736
680400,30.887295
681120,32.284416
681840,32.885376
682560,30.198988
683280,31.718628
684000,32.376682
684720,32.947308
685440,31.529747
686160,31.358847
686880,31.126696
687600,32.041489
688320,31.571136
689040,32.097141
689760,32.781639
690480,31.115669
691200,32.401382
691920,30.38138
692640,33.652843
693360,33.155273
694080,32.021954
694800,31.73208
695520,32.486755
696240,32.505924
696960,32.152695
697680,30.821594
698400,33.054184
699120,31.540247
699840,31.271156
700560,33.219772
701280,31.853931
702000,33.135883
702720,32.658703
703440,32.141659
704160,32.171871
704880,31.80237
705600,31.902496
706320,31.145405
707040,31.176815
707760,31.808302
708480,32.382557
709200,31.322437
709920,31.32777
710640,31.074442
711360,32.071968
712080,31.561529
712800,31.047417
713520,32.027191
714240,32.029873
714960,32.684967
715680,32.746498
716400,30.872087
717120,29.909723
717840,32.718575
718560,30.624487
719280,32.092575
720000,33.690983
720720,32.308704
721440,33.454262
722160,31.860237
722880,32.467163
723600,31.966587
724320,31.009741
725040,29.684134
725760,30.346434
726480,30.802128
727200,32.017147
727920,32.335941
728640,31.560022
729360,33.569962
730080,31.712387
730800,32.171581
731520,31.407555
732240,32.386036
732960,31.157572
733680,30.393265
734400,32.421944
