T_B_SCR,T_SCR_T1,T_SCR_T2,T_SCR_T3,T_SCR_T4,T_SCR_T5,T_A_SCR,,NO,NO2,N2O,H2O,NH3,,DTIUreaflowdmnd,DTIUreaflowsubm,,PTScrureamassflow,PTUreaflowdesired,,PTScrmassflow
?C,?C,?C,?C,?C,?C,?C,,ppm,ppm,ppm,ppm,ppm,,Real,Real,,Real,Real,,Real
Raw,Raw,Raw,Raw,Raw,Raw,Raw,,Raw,Raw,Raw,Raw,Raw,,Raw,Raw,,Raw,Raw,,Raw
192.2482409,199.7462222,-271.5107821,199.7693461,199.6078431,-271.0875332,172.904416,,189.9,21.94,5.25,0,0.21,,70,1,,68.09375,70,,18.71875
192.2482409,199.6539393,-271.5107821,199.7693461,199.6078431,-271.0875332,172.904416,,189.1,21.65,5.31,0,0.37,,70,1,,68.75,70,,18.65625
192.2482409,199.5616565,-271.5107821,199.7924115,199.6309112,-271.0875332,172.9274761,,188.8,20.59,5.83,0,0.18,,70,1,,68.09375,70,,18.65625
192.2482409,199.4232322,-271.5107821,199.7924115,199.6770473,-271.0875332,172.9274761,,183.5,20.52,5.26,0,0.35,,70,1,,68.75,70,,18.6875
192.2713116,199.3309494,-271.5107821,199.7924115,199.6770473,-271.0875332,172.9274761,,187.6,20.88,5.68,0,0.17,,70,1,,68.09375,70,,18.65625
192.2482409,199.123313,-271.5107821,199.7924115,199.6770473,-271.0875332,172.9274761,,186.6,20.97,5.89,0,0.22,,70,1,,68.09375,70,,18.6875
192.1328873,199.0310301,-271.5107821,199.7924115,199.6770473,-271.0875332,172.9274761,,185.9,20.1,5.8,0,0.14,,70,1,,68.09375,70,,18.6875
192.0636752,198.9387473,-271.5107821,199.7924115,199.6770473,-271.0875332,172.9274761,,185.3,19.75,5.61,0,0.27,,70,1,,69.4375,70,,18.65625
192.0406045,198.7541816,-271.5107821,199.7693461,199.6539792,-271.0875332,172.9274761,,182.7,19.35,5.51,0,0.35,,70,1,,69.4375,70,,18.65625
192.0406045,198.7311109,-271.5107821,199.7693461,199.6309112,-271.0875332,172.9274761,,184.7,17.89,5.92,0,-0.09,,70,1,,68.75,70,,18.65625
192.0406045,198.5234744,-271.5107821,199.7693461,199.6309112,-271.0875332,172.9274761,,180.1,18.63,5.83,0,0.09,,70,1,,69.4375,70,,18.65625
191.7868266,198.4081209,-271.5107821,199.7693461,199.6309112,-271.0875332,172.904416,,182.5,19.36,5.92,0,0.04,,70,1,,68.75,70,,18.71875
191.6945438,198.315838,-271.5107821,199.7462807,199.6309112,-271.0875332,172.904416,,180.2,17.86,5.44,0,-0.02,,70,1,,70.03125,70,,18.6875
191.6253316,198.1774138,-271.5107821,199.7232153,199.6309112,-271.0875332,172.904416,,179.7,17.2,5.6,0,-0.12,,70,1,,70.03125,70,,18.6875
191.6022609,198.0159188,-271.5107821,199.7001499,199.6309112,-271.0875332,172.904416,,180.3,16.5,5.94,0,-0.04,,70,1,,69.4375,70,,18.75
191.6022609,197.9697774,-271.5107821,199.6770845,199.6309112,-271.0875332,172.904416,,179.8,17.08,6.4,0,0.03,,70,1,,69.4375,70,,18.71875
191.6022609,197.9236359,-271.5107821,199.6770845,199.6770473,-271.0875332,172.904416,,175.9,16.6,5.88,0,0.17,,70,1,,69.4375,70,,18.6875
191.5561195,197.7852117,-271.5107821,199.6309538,199.7001153,-271.0875332,172.904416,,176,16.28,5.81,0,-0.08,,70,1,,68.75,70,,18.71875
191.5330488,197.6467874,-271.5107821,199.5156268,199.7231834,-271.0875332,172.904416,,179,15.82,5.59,0,0,,70,1,,68.75,70,,18.71875
191.5330488,197.5775753,-271.5107821,199.469496,199.6770473,-271.0875332,172.8813559,,177.4,15.33,5.84,0,0.37,,70,1,,68.75,70,,18.71875
191.5330488,197.5314338,-271.5107821,199.4464306,199.6770473,-271.0875332,172.8813559,,174.5,15.25,6.14,0,0.17,,70,1,,68.75,70,,18.6875
191.5330488,197.4852924,-271.5107821,199.4233652,199.6770473,-271.0875332,172.8813559,,176,15.16,5.94,0,0.23,,70,1,,69.4375,70,,18.71875
191.4407659,197.3699389,-271.5107821,199.2619075,199.7001153,-271.0875332,172.8813559,,172.7,14.82,6.52,0,0.15,,70,1,,69.4375,70,,18.71875
191.3715538,197.1853732,-271.5107821,199.1927113,199.7001153,-271.0875332,172.904416,,174.8,14.96,6.61,0,-0.1,,70,1,,69.4375,70,,18.6875
191.3023417,197.0469489,-271.5107821,199.1696459,199.7001153,-271.0875332,172.8582959,,175.9,13.94,6.38,0,0.13,,70,1,,68.75,70,,18.65625
191.3023417,197.0238782,-271.5107821,199.0773844,199.7001153,-271.0875332,172.8582959,,175.2,13.67,6.39,0,-0.12,,70,1,,69.4375,70,,18.6875
191.279271,197.0238782,-271.5107821,198.9851228,199.7001153,-271.0875332,172.8582959,,175.1,13.04,6.4,0,0.53,,70,1,,68.75,70,,18.6875
191.2100588,197.0008075,-271.5107821,198.938992,199.7001153,-271.0875332,172.8582959,,171.5,13.3,6.53,0,-0.11,,70,1,,69.4375,70,,18.6875
191.0254931,196.8393125,-271.5107821,198.8467305,199.7001153,-271.0875332,172.904416,,175.4,13.48,6.21,0,0.05,,70,1,,69.4375,70,,18.71875
190.956281,196.7701004,-271.5107821,198.7314035,199.7231834,-271.0875332,172.904416,,175.4,13.15,6.77,0,0.3,,70,1,,69.4375,70,,18.65625
190.9332103,196.7239589,-271.5107821,198.6622074,199.7231834,-271.0875332,172.904416,,170.3,13.46,6.85,0,-0.22,,70,1,,69.4375,70,,18.75
190.9332103,196.5855347,-271.5107821,198.5007496,199.6770473,-271.0875332,172.904416,,176.4,12.91,6.43,0,0.17,,70,1,,68.75,70,,18.6875
190.9332103,196.5163225,-271.5107821,198.3392919,199.6539792,-271.0875332,172.904416,,169.5,12.86,6.49,0,-0.07,,70,1,,69.4375,70,,18.75
190.9332103,196.4932518,-271.5107821,198.3162265,199.6309112,-271.0875332,172.904416,,172.1,12.43,6.28,0,-0.12,,70,1,,69.4375,70,,18.71875
190.956281,196.3778983,-271.5107821,198.2470303,199.6309112,-271.0875332,172.904416,,171.3,12.11,6.59,0,0.11,,70,1,,69.4375,70,,18.65625
190.956281,196.3317568,-271.5107821,198.1317034,199.5847751,-271.0875332,172.904416,,168.5,12.37,6.92,0,-0.02,,70,1,,69.4375,70,,18.65625
190.9101396,196.239474,-271.5107821,198.0394418,199.561707,-271.0875332,172.904416,,168.6,12.09,6.92,0,-0.24,,70,1,,69.4375,70,,18.71875
190.8639982,196.2164033,-271.5107821,197.9471803,199.538639,-271.0875332,172.904416,,168.8,11.93,6.92,0,-0.15,,70,1,,69.4375,70,,18.71875
190.7486446,196.077979,-271.5107821,197.8087879,199.538639,-271.0875332,172.904416,,171.7,10.55,6.7,0,0.03,,70,1,,69.4375,70,,18.71875
190.7255739,196.0318376,-271.5107821,197.693461,199.3771626,-271.0875332,172.904416,,169.9,11.9,6.63,0,-0.1,,70,1,,69.4375,70,,18.6875
190.7255739,195.8934133,-271.5107821,197.6011994,199.3540946,-271.0875332,172.904416,,170.1,11.24,6.71,0,0.12,,70,1,,69.4375,70,,18.71875
190.6794325,195.8703426,-271.5107821,197.578134,199.3310265,-271.0875332,172.904416,,169.1,10.95,6.99,0,0.27,,70,1,,69.4375,70,,18.71875
190.6563617,195.8472719,-271.5107821,197.4166763,199.2848904,-271.0875332,172.904416,,166.9,10.31,6.69,0,-0.11,,70,1,,69.4375,70,,18.71875
190.5640789,195.7780598,-271.5107821,197.2782839,199.2387543,-271.0875332,172.904416,,171.5,10.26,7.05,0,-0.24,,70,1,,69.4375,70,,18.71875
190.5640789,195.754989,-271.5107821,197.2552185,199.2156863,-271.0875332,172.904416,,167.7,10.7,6.97,0,0.07,,70,1,,69.4375,70,,18.6875
190.5640789,195.6857769,-271.5107821,197.162957,199.100346,-271.0875332,172.904416,,166.5,10.64,6.87,0,0.22,,70,1,,69.4375,70,,18.6875
190.4948668,195.5934941,-271.5107821,196.9553685,199.0311419,-271.0875332,172.9274761,,164.5,10.19,6.86,0,0.15,,70,1,,69.4375,70,,18.71875
190.4948668,195.5704233,-271.5107821,196.9323031,198.8696655,-271.0875332,172.9274761,,162.1,9.87,6.98,0,0.46,,70,1,,69.4375,70,,18.71875
190.4948668,195.5704233,-271.5107821,196.8169761,198.8465975,-271.0875332,172.9274761,,163.5,9.92,6.98,0,0.31,,70,1,,69.4375,70,,18.6875
190.4948668,195.4550698,-271.5107821,196.7016492,198.8465975,-271.0875332,172.9505361,,156.7,9.49,7.01,0,0.4,,70,1,,69.4375,70,,18.6875
190.5179375,195.4089284,-271.5107821,196.6785838,198.7543253,-271.0875332,172.9505361,,164.8,9.41,7.01,0,0.44,,70,1,,69.4375,70,,18.6875
190.5179375,195.3627869,-271.5107821,196.632453,198.5928489,-271.0875332,172.9505361,,162.3,8.95,6.81,0,0.24,,70,1,,69.4375,70,,18.6875
190.4948668,195.2474334,-271.5107821,196.4479299,198.5697809,-271.0875332,172.9505361,,164,9.37,6.85,0,0.49,,70,1,,69.4375,70,,18.71875
190.4717961,195.2474334,-271.5107821,196.4248645,198.4775087,-271.0875332,172.9505361,,160.8,9.02,7.06,0,0.13,,70,1,,69.4375,70,,18.6875
190.4717961,195.2474334,-271.5107821,196.2864721,198.4313725,-271.0875332,172.9505361,,165.3,8.71,7.06,0,0.59,,70,1,,70.03125,70,,18.6875
190.4717961,195.1782212,-271.5107821,196.1942106,198.3621684,-271.0875332,172.9505361,,163.9,8.27,7.31,0,0.2,,70,1,,70.03125,70,,18.71875
190.3333718,195.1090091,-271.5107821,196.1250144,198.2237601,-271.0875332,172.9505361,,158.2,8.55,7.32,0,-0.06,,70,1,,70.03125,70,,18.65625
190.3103011,195.0859384,-271.5107821,196.0327529,198.0853518,-271.0875332,172.9505361,,159.6,8.55,6.95,0,0.13,,70,1,,70.03125,70,,18.6875
190.3103011,195.0167263,-271.5107821,195.9404913,198.0392157,-271.0875332,172.9966563,,156.9,8.32,6.97,0,-0.05,,70,1,,70.03125,70,,18.75
190.3103011,194.9244434,-271.5107821,195.8482297,197.9700115,-271.0875332,172.9966563,,160.4,7.94,7.03,0,-0.12,,70,1,,70.03125,70,,18.71875
190.3103011,194.9244434,-271.5107821,195.8251643,197.8085352,-271.0875332,172.9966563,,158.4,7.65,6.5,0,0.07,,70,1,,70.03125,70,,18.6875
190.2872304,194.9244434,-271.5107821,195.7329028,197.8085352,-271.0875332,173.0427764,,158.8,8.23,6.81,0,-0.13,,70,1,,70.03125,70,,18.71875
189.8719575,194.878302,-271.5107821,195.5945104,197.6931949,-271.0875332,173.0658365,,158,8.13,6.67,0,0.21,,70,1,,70.03125,70,,18.6875
189.7104626,194.8552313,-271.5107821,195.571445,197.6009227,-271.0875332,173.0658365,,159.5,7.51,7.26,0,0.19,,70,1,,70.6875,70,,18.6875
189.6873919,194.8552313,-271.5107821,195.5022489,197.5547866,-271.0875332,173.0658365,,159.2,8.34,7.45,0,0.1,,70,1,,70.6875,70,,18.6875
189.6643211,194.8321606,-271.5107821,195.4791835,197.4394464,-271.0875332,173.0658365,,161.5,7.84,7.27,0,0.17,,70,1,,70.03125,70,,18.6875
